"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Indigo, False","Baptisia Australis","purgative, emetic, anti-inflamatory","purgative, emetic, anti-inflamatory¤immune system booster","tall blue-violet flower spikes","North America","","","","Herb"
"Indrajao (Mitha Indarjou, Dudhi)","Wrightia Tinctoria","toothache, source pala-indigo","fresh leaves: relieves toothache¤leaves, flowers, and fruits are source of a kind of indigo ¤called pala-indigo","shrub, fragrant white flowers","India","","","","Herb"
"Jacob's Laddder","Polemonium Caeruleum","nearvous complaints, headache, heart","nervous complaints, headaches, heart palpitations","ladder-like leaflets, bright blue flower","","","","","Herb"
"Jessamine, Night","Cestrum Nocturnum","sweet scent","has a perfumed scent at night","shrub, creamy-white flowers","","also called: Night-Scented Jasmine, Queen of thre Night","","","Herb"
"Kantikari(Yellow-Berried Nightshade","Solanum Xanthocarpum, Solanum Surattense","expectorant, asthma, toothache, flatulence","expectorant, cough, asthma, chest pain¤flatulence, sore throat, toothache","root of spiny herb with bitter fruits","India","has high concentration of solasodine","","","Herb"
"Lady's Mantle","Alchemilla Vulgaris","menstrual, appetite, rhematism, stomach, muscles","menstrual disorders, lack of appetite, rheumatism, stomach ¤ailments, muscle disorders","","","","","","Herb"
"Lamb's Ear, Wooly","Stachys Byzantina","bandage wounds","used to bandage wounds","soft downy foliage","","","","","Herb"
"Lantern, Chinese","Physalis Alkekengi","fever, gout","fevers, gout","edible berry, orange lantern-like calyce","","","","","Herb"
"Laserwort (Fang Feng)","Saposhnikoba Divaricata,Siler Divaricatum, Ledebouriella div","colds, sinus, fever, antibacterial","colds, fevers, sinus¤roots are analgesic, antipuretic, anti-bacterial¤Spleen, liver, migrain, rheumatoid arthritis","","China","close relative to parsley","","","Herb"
"Leopard Lily (She-Gan)","Belamcanda Chinensis","throat conditions, mumps, bronchitis","throat, coughs, wheezing, bronchitis¤mumps","orange-yellow flower, red-purple spots","China","","","","Herb"
"Lespedeza(Round-Headed Bush Clover)","Lespedeza Capitata","tumors, cholesterol, neuralgia","anti-tumor¤lowers blood cholesterol¤Burned dried stems on skin relveaves neuralgia and ¤rheumatism","","N. America","","","","Herb"
"Lettuce, Wild","Lactuca Virosa","sleep, nervous disorders","Lactucarium or lettuce opium (a dried milkjy juice) ¤obtained from it:  induce sleep, treat nervous disorders","","","","","","Herb"
"Licorice, Chinese (Gan-Cao)","Glycyrrhiza Uralensis","organs","benefits most organs, improves state of all medicines.","","","","","","Herb"
"Live-Forever (Orpine Stonecrop)","Sedum Telephium","kidneys, diarrhea, anti-cancer, burns","stimulates kidneys¤diarrhea, piles, hemorrhages¤anti-cancer¤juice mixed with vegetable oil heals burns","bluish-green leaf, showy crimson flower","","","","Boil fresh leaves in milk to use","Herb"
"Lobelia, Great","Lobelia Siphilitica","veneral disease","veneral disease","","","","","","Herb"
"Loveapple (Soda-Apple Nightshade)","Solanum Aculeatissimum","toothache, nose","pounded roots applied to guns: toothache¤smoke of burning seeds: nose ulcers","spiny shrub, orange-red fruit","India","sourece of raw materials for manufacture of steroids","","","Herb"
"Loofah (Luffa)","Luufa Aegyptica","rheumatism","rheumatism¤The dried over-ripe fruit can be used for scrubbing","","S. America, China","","","","Herb"
"Lungwort (Jerusalem Cowslip)","Pulmonaria Officinalis","lungs, hemorrhoids, diarrhea","coughs, bronchitis, excess mucus, hemorrhoids, diarrhea¤Flowering tops used as astringent","white-spotted leaves, pink/blue flowers","","","","","Herb"
"Madar","Calotropis Gigantea","skin, dysentery, , colds","root bark: dysentery, skin diseases, and as an emetic¤(substitute for ipecacuanha)¤leaves and flowers: fevers, colds, coughs, asthma","herb with rose-purple flowers","India, Nepal","","","","Herb"
"Madder, Indian","Rubia Cordifolia","bleeding, blood disorders","nosebleeds, hemorrhages, blood disorders¤fevers","","Tibet, India","","","","Herb"
"Maitake","Grifola Frondosa","blood presure, diabetes, arthritis, adaptogen","cancer, high blood pressure, diabetes, rheumatoid ¤arthritis, HIV¤adaptogen (releaves body of emotional and physical stress)¤","","Japan","","","","Herb"
"Mallow, Curled","Malva Verticillata Crispa","anti-inflammatory, laxative, lungs","anti-inflamatory, laxative¤gastrointestinal, coughs, bronchitis","robust, tall, curled and crisped leaves","","","","","Herb"
"Mallow, Musk","Malva Moschata","inflammation","inflammations of alimentary, urinary, and respiratory ¤systems","rose-mauve flowers","","","","","Herb"
"Mandrake, European","Mandragora Officinarum","anesthetic","anesthetic","","","many superstitions associated with it","","","Herb"
"Manuka (Tea Plant)","Leptospermum Scoparium","kidney, bladder, common cold","kidney, bladder¤common cold","","New Zealand","","","","Herb"
"Maralroot (Lujza)","Leuzea Carthamoies, Rhaponticum Carthamoides","adaptogen, muscles, memory, blood sugar","adaptogen, physical stress and recovery¤root extract: muscle strength, normalizes blood sugar ¤levels, memory/learning","violet flowers","Siberia","","","","Herb"
"Moleplant","Euphorbia Lathyris","purgative","roots and seeds are purgative","","","said to drive away moles where planted","","seeds may cause skin irritations if handled","Herb"
"Motherwort, Siberian (Yi-Mu-Cao)","Leonurus Sibiricus","diuretic","emmenagogue, diuretic, vasodilator","","China","","","","Herb"
"Mulberry","Morus Nigra","tapeworms","rootbark: tapeworms","berries from a tree","","","","","Herb"
"Nightshade, Indian","Solanum Khasianum","stomach pain, night blindness","may prevent ovulation¤stomach pain¤night blindness¤berries are used in steroidal drugs","","India","","","","Herb"
"Osage-Orange","Maclura Pomifera","eyes","bathe irritated eyes","hedge plant","Canada","source of yellow, gold, and khaki dyes","none","boil root and use liquid to bathe eyes","Herb"
"Osha","Ligusticum Porteri","respiratory, circulation, antibacterial, antiviral","colds, flu, sore throat, upper respiratory congestion¤antibacterial, antiviral¤stimulates circulation, kidneys, uterus","","N. America, southern Rockies","","","","Herb"
"Oxknee, Sichuan (Chuan Niu Xi)","Cyathula Officinalis","extremities","pain¤clear atrophy and spasms of lower extremities","","","","don't use during pregnancy","","Herb"
"Oxlip","Primula Elatior","phlegm, coughs, colds","stops catarrh, expels phlegm¤colds, coughs","wildflower","Europe","","","","Herb"
"Palmarosa (Geranium Grass)","Cymbopogon Martinii Motia","lumbago, skin, mosquitos","oil used for lumbago and skin problems¤mosquito repellents","grass","India","also called: Rosha Grass","","","Herb"
"Pasque Flower","Anemone Pulsatilla","respiratory, digestive","membrane disorders of respiratory and digestive passages","purple flowers","","","","","Herb"
"Periwinkle, Madagascar","Catharanthus Roseus (Vinca Rosea)","cancer, diabetes","anti-cancer, leukemia¤diabetes","rose, salmon, pink, white flowers","","","","can be usd as a tea","Herb"
"Pig's Ears (Plakkies)","Cotyledon spp.","warts","wart remedy on people and pets (slice leaves lengthwise ¤and place cut side on wart or 8-12 hours daily)","succulent grey leaves w/ coral flowers","South Africa","","","","Herb"
"Pine, White","Pinus Strobus","cough, congestion","coughs, congestion","bark of the tre","North America","","","make inner bark into tea or syrup","Herb"
"Plantain, Chinese (Che Qian)","Plantago Asiatica","urination, eyes, diarrhea, liver","promotes urination, clears heat from liver¤corrects eye problems caused by deficient liver and kidneys¤diarrhea¤used in obstetrics to reposition fetus before birth","seeds of broad-leafed plant","China","","","","Herb"
"Plantain, Ribgrass","Plantago Lanceolata","blood, lungs, diarrhea, wounds","leaf juice: blood cleansing, strengthen weak lungs, fight ¤colds, diarrhea and similar digestive complaints¤¤Leaves: made into a poultice is put on wounds to prevent ¤infection","","","","","","Herb"
"Pleurisy Root","Asclepias Tuberosa","lungs","epectorant, anti-inflamatory for lungs, chest complaints, ¤pleurisy","bright orange-red flowers","","use the roots","","","Herb"
"Poppy, Opium","Papaver Somniferum","pain, coughs, diarrhea, narcotic","control pain, coughs, diarrhea","","Middle East","it's seeds don't contain the narcotics","soure of opium and narcotic alkaloids","","Herb"
"Prairie-Clover","Petalostermum Candidum","stomache, diarrhea, fever","stomachahce, abdominal pain, diarrhea, fever¤","roots","North America, Navajo Indians","","","","Herb"
"Prince's Feather (Shui Hong)","Polygonum Orientale","antibacterial, cancer, flatulence","antibacterial, infection¤flatulence¤stomach of cancer, intestines, and liver","5foot herb w/ bright red drooping flower","China","","","","Herb"
"Privet, Chinese (Nepal Privet)","Ligustrum Lucidum","liver, kidneys, eyes, gray hair, dizziness","liver, kidneys¤tinnitus, blurred vision, dizziness, premature graying¤helps enhnce white cell count (especially after ¤chemotherapy)","bushy evergreen shrub","China","also called: Nu-Zhen-Zi","","","Herb"
"Pumpkin, Styrian","Cucurbita Pepo Styriaca","prostate, inflammations, arterioschlerosis","inlammations¤hypertrophy of the prostate¤arterioschlerosis¤Stimulates synthesis of prostaglandins¤high vitamin E content","the hull-less seeds of the gourd","Central America","","","","Herb"
"Pyrethrum","Tanacetum (Chrysanthenum) Cinerariifolium","insecticide","insecticide whicch will not harm fish, waterfowl, plants, ¤or mammals (mix 1Tbsp ground dried flowers to 2 qt hot ¤water, or 15ml to 2L water)","white daisy flowers","","","","","Herb"
"Quassia","Picrasma Excelsa","insecticide, fever, malaria, snakebite, carcinoma","insectoid spray for garden, house, and lice on pets¤Indian folk remedy for fever, malaria, snakebite, ¤dysentery, gonorrhea, and carcinoma","dried wood chips","","","","","Herb"
"Ramsons (Wild Garlic, Bärlauch)","Allium Ursinum","high blood pressure, arteries","high blood pressure, hardening of arteries","","","","","","Herb"
"Restharrow","Ononis Spinosa","diuretic, kidney, bladder, dropsy","diuretic¤dropsy, rheumatism, gout, kidney, bladder","","","","","","Herb"
"Rhubarb, Chinese (Da Huang)","Rheum Palmatum","purgative, anti-tumor","purgative (brisk and non-constipating)¤anti-tumor","","China","also called: Turkey Rhubarb","","","Herb"
"Rocket, Sweet","Hesperis Matronalis","aphrodisiac, gland stimulant","gland stimulant¤aphrodisiac","","","","","","Herb"
"Rose, Apothecary","Rosa Gallica 'Officinalis'","inflammations, insomnia, stomachache, headache","inflammations, stomachache, headache, toothache¤insomnia","","","","","","Herb"
"Roseroot (Golden Root)","Rhodiola Rosea (Sedum Rosea)","adaptogen, mind, tonic","roots:¤It's an adaptogen; restores mind and body after physical ¤and mental stress¤improves learning and memory¤tonic¤Leaves: cuts and burns¤flowers: stomachache, intestinal discomfort, tuberculosis","","North America, Arctic","","","","Herb"
"Rue, Syrian","Peganum Harmala","aphrodisiac","oil from seeds aphrodisiac","","","","seeds posses hallucinogenic alkaloids","","Herb"
"Rupturewort","Herniaria Glabra","urinary, kidney, bladder","urinary problems (increases sodium and urea emission w/out ¤increased urine flow)¤kidney, bladder","","","","","","Herb"
"Sadadhatura","Datura Metel, Datura Alba","asthma, coughs, swellings","asthma, whooping cough, bronchitis¤Leaves: as a poultice for rheumatic swellings of joints, ¤lumbago, painful tumors","","India","","","","Herb"
"Sage, African Blue","Salvia Auretia","chest, digestion, heartburn","coughs, colds, flu, chest ailments¤painful menstruation¤indigestion, diarrhea, flatulence, heartburn","showy blue flowers","southern Africa","","","","Herb"
"Cardinal Sage","Salvia Fulgens","colic","colic","scarlet flowers, pungent scent","Mexico","","","","Herb"
"Lyreleaf Sage (cancerweed)","Salvia Lyrata","cancer","cancer¤roots: sores¤tea: colds, coughs, nervous conditions","purple-blue flowers, dandelion-like leaf","North America","","none","","Herb"
"Painted Sage","Salvia Viridis, Salivia Horminum","gums","infusion used for sore gums","purple or pink floral bracts","","","none","","Herb"
"Spanish Sage (Lavender Sage)","Salvia Lavandulifolia","blood sugar","it's oil is effective in lowering blood sugar without ¤affecting insulin levels","","","the only sage used in Spain for cooking.","none","","Herb"
"White Sage","Salvia Apiana","afterbirth, colds","roots used for afterbirth to heal and clense womb¤Leaves: cure colds","","west North America","","none","","Herb"
"Sagebrush, Silver (Blue Sage)","Artemisia Cana","hair, skin","general tonic¤hair restoration¤skin","","North America","","","","Herb"
"Samphire (Sea Fennel)","Crithmum Maritimum","digestive, obesity, diuretic","digestive system¤obesity¤diuretic","","European seashores","","","boil, pickle, then eat","Herb"
"Santolina (Lavender Cotton)","Santolina Chamaecyparissus","repels moths","hang dried bunches in closets to repel moths","attractive flowers","","","","","Herb"
"Santonica (Sea Wormwood)","Artemisia Chamaemelifolia, Artemisia Maritima","worms","worms (safe for children)","greenish-yellow flowers","","also called: Levant Wormseed","","","Herb"
"Scullcap, Baikal (Huang-Qin)","Scutellaria Baicalensis","fevers, hypertension, headaches,diptheria,shingles","fevers, colds, hypertension, insomnia, headaches¤hepatitis¤diptheria, shingles","showy blue flowers","China","","","","Herb"
"Sea Buckthorn","Hippophae Rhamnoides","skin","source vitamins A and C¤skin eruptions (use as decoction)","","North Eurasia","","","","Herb"
"Sea Lavender","Limonium Latifolium","asstringent, dysentery","astringent¤diarhhea, dysentery","","","","","","Herb"
"Sea-Onion","Ornithogalum Caudatum","cuts, sores","juice of the leaves used for cuts and sores like Aloe Vera","","","known as the "pregnant onion"","","","Herb"
"Senna, American","Cassia Marilandica","laxative, cramps, worms, fever","laxative¤cramps¤expels worms¤fever","","North America","","","","Herb"
